protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
DS-unknown,31,MAE,MAE__DX,MAE,(none),DX,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.8900882647940854,1,FP,-0.8900882647940854,0.8900882647940854,0.7091909658470915,0.1706843442260568,0.270859224942707,0.1365452504104732,0.350741961697122
DS-unknown,102,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,42.0,30.0,0.0,28.0,B,1,0.1215232164640979,0,FN,0.8784767835359021,0.8784767835359021,0.7630078692536336,0.1915209105066807,0.3053235399408604,0.1520218981677961,0.3082538701617835
DS-unknown,0,BAE,BAE__DEGEE,BAE,(none),DEGEE,single_amine_solvent,313,10.0,30.0,0.0,60.0,M,0,0.8773757456435679,1,FP,-0.8773757456435679,0.8773757456435679,0.4411552507303276,0.2554125431243222,0.1344565351301222,0.0813815752431462,0.3145708679680791
DS-unknown,14,PMDETA|TEPA,PMDETA|TEPA__NO_SOLVENT,TEPA,PMDETA,(none),dual_amine_aqueous,298,30.0,30.0,40.0,0.0,M,0,0.873275739974646,1,FP,-0.873275739974646,0.873275739974646,0.8105258811371109,0.2337668953850512,0.5934807647711731,0.2697949731863708,0.232844899266334
DS-unknown,135,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.8724523751763306,1,FP,-0.8724523751763306,0.8724523751763306,0.4741110022343521,0.205650743207742,0.1194944823543511,0.0468389965451358,0.306243020477038
DS-unknown,328,DEEA|HxA,DEEA|HxA__NO_SOLVENT,HxA,DEEA,(none),dual_amine_aqueous,303,43.81,15.18,41.01,0.0,M,0,0.8643810638039151,1,FP,-0.8643810638039151,0.8643810638039151,0.829472180502518,0.2055859418865209,0.6353327344042836,0.2926293512795546,0.2382877225862
DS-unknown,30,MAE,MAE__DMSO,MAE,(none),DMSO,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.8631144878989112,1,FP,-0.8631144878989112,0.8631144878989112,0.6963071774964387,0.1670655048445586,0.273151867149201,0.1398316459437873,0.3427736907620761
DS-unknown,133,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.8611635136458461,1,FP,-0.8611635136458461,0.8611635136458461,0.7118867384301694,0.1468664070635821,0.2792879267242057,0.1212178831195991,0.3460749189857101
DS-unknown,141,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.8604842940743115,1,FP,-0.8604842940743115,0.8604842940743115,0.4741110022343521,0.205650743207742,0.1278030110105678,0.0535672322667633,0.3023038556287463
DS-unknown,282,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,353,0.0,28.0,0.0,72.0,B,1,0.1402926438456454,0,FN,0.8597073561543546,0.8597073561543546,0.0,0.9560768777402556,0.0647129034103914,0.0029521164101237,0.0
DS-unknown,8,TEPA,TEPA__DGME,TEPA,(none),DGME,single_amine_solvent,298,10.0,30.0,0.0,60.0,M,0,0.8527362978455819,1,FP,-0.8527362978455819,0.8527362978455819,0.4576350079444441,0.1502868542868079,0.1006487554123264,0.0668341918036943,0.3168904014390157
DS-unknown,15,MDEA|TEPA,MDEA|TEPA__NO_SOLVENT,TEPA,MDEA,(none),dual_amine_aqueous,298,30.0,30.0,40.0,0.0,M,0,0.8523647860009084,1,FP,-0.8523647860009084,0.8523647860009084,0.771165540623744,0.2967384398307923,0.5122811846530673,0.2213602316668415,0.2215376051561621
DS-unknown,139,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.8482014310085563,1,FP,-0.8482014310085563,0.8482014310085563,0.7118867384301694,0.1468664070635821,0.2838327280562153,0.1249201057708459,0.3428395351886527
DS-unknown,254,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.1572161424158338,0,FN,0.8427838575841662,0.8427838575841662,0.0,0.4651141192033864,0.0195041711327705,0.0075156065937552,0.0
DS-unknown,284,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,353,0.0,17.0,0.0,83.0,B,1,0.1574023959718032,0,FN,0.8425976040281968,0.8425976040281968,0.0,0.5035447927515501,0.0647129034103916,0.0029521164101237,0.0
DS-unknown,25,MAE,MAE__TEG,MAE,(none),TEG,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.8418195400409376,1,FP,-0.8418195400409376,0.8418195400409376,0.7544053354747463,0.1835638340307322,0.3002444590437199,0.1459318614643863,0.3509350884207219
DS-unknown,243,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,30.0,0.0,70.0,B,1,0.1727399984288648,0,FN,0.8272600015711352,0.8272600015711352,0.0,0.8431457384195429,0.0486378273064697,0.0590231915782442,0.0
DS-unknown,32,MAE,MAE__PC,MAE,(none),PC,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.8261304977164656,1,FP,-0.8261304977164656,0.8261304977164656,0.7235622654741967,0.1747475712960923,0.2972504196450769,0.1524023214402197,0.3387538497495382
DS-unknown,27,MAE,MAE__EGME,MAE,(none),EGME,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.825989910020456,1,FP,-0.825989910020456,0.825989910020456,0.6933217096631877,0.1662301277398328,0.2827889147024974,0.1353815661320015,0.3346224492648819
DS-unknown,329,DEEA|OtA,DEEA|OtA__NO_SOLVENT,OtA,DEEA,(none),dual_amine_aqueous,303,39.6,19.39,41.01,0.0,M,0,0.8224010774428469,1,FP,-0.8224010774428469,0.8224010774428469,0.814698403905733,0.227448090245038,0.6420450602341856,0.2985125768037509,0.2340435662877785
DS-unknown,242,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,20.0,0.0,80.0,B,1,0.181928663810462,0,FN,0.818071336189538,0.818071336189538,0.0,0.4918350140782395,0.0486378273064698,0.0590231915782442,0.0
DS-unknown,281,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,303,0.0,28.0,0.0,72.0,B,1,0.1829419068785446,0,FN,0.8170580931214554,0.8170580931214554,0.0,0.9560768777402556,0.0647129034103914,0.0029521164101237,0.0
DS-unknown,128,MAE,MAE__ethanol,MAE,(none),ethanol,single_amine_solvent,313,30.0,30.0,0.0,40.0,M,0,0.8152686339980848,1,FP,-0.8152686339980848,0.8152686339980848,0.5677789898716058,0.1576500383535622,0.2210011246676697,0.0988068937644069,0.3091127438352196
DS-unknown,251,AEP,AEP__n-propanol,AEP,(none),n-propanol,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.1867075050415626,0,FN,0.8132924949584374,0.8132924949584374,0.0,0.4651141192033864,0.0066306050725346,0.0028385822834337,0.0
DS-unknown,255,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.1925748307238821,0,FN,0.8074251692761178,0.8074251692761178,0.0,1.085266278140562,0.0195041711327705,0.0075156065937552,0.0
DS-unknown,471,DETA,DETA__NO_SOLVENT,DETA,(none),(none),single_amine_aqueous,393,82.9,17.1,0.0,0.0,M,0,0.8073564348288407,1,FP,-0.8073564348288407,0.8073564348288407,0.9652331298810845,0.0360191429848278,0.472461578257938,0.2204175319018481,0.2772886296738377
DS-unknown,327,DEEA|PtA,DEEA|PtA__NO_SOLVENT,PtA,DEEA,(none),dual_amine_aqueous,303,45.91,13.07,41.02,0.0,M,0,0.806817327193191,1,FP,-0.806817327193191,0.806817327193191,0.8359879774476343,0.1961894512561253,0.634793903740484,0.2929122567849688,0.240159556809676
DS-unknown,283,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,303,0.0,17.0,0.0,83.0,B,1,0.1943400877938848,0,FN,0.8056599122061152,0.8056599122061152,0.0,0.5035447927515501,0.0647129034103916,0.0029521164101237,0.0
DS-unknown,103,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,35.0,30.0,0.0,35.0,B,1,0.1948501681649341,0,FN,0.8051498318350658,0.8051498318350658,0.7129081672839271,0.2198378409289744,0.2662766557588952,0.1417628414986613,0.3158505191574087
DS-unknown,417,DETA,DETA__NO_SOLVENT,DETA,(none),(none),single_amine_aqueous,393,80.0,20.0,0.0,0.0,M,0,0.7987493768393903,1,FP,-0.7987493768393903,0.7987493768393903,0.9581712450737336,0.0436547800210848,0.472461578257938,0.2204175319018481,0.2752599173342747
DS-unknown,391,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,49.0,30.0,0.0,21.0,B,1,0.2100444728276251,0,FN,0.7899555271723749,0.7899555271723749,0.8698581540942268,0.0802116487748891,0.4713464149496016,0.2301624963856708,0.3215023679591695
DS-unknown,258,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.218866289036201,0,FN,0.781133710963799,0.781133710963799,0.0,2.170189437613889,0.0829899755574739,0.1281269357253034,0.0
DS-unknown,252,AEP,AEP__n-propanol,AEP,(none),n-propanol,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.2238357707712063,0,FN,0.7761642292287937,0.7761642292287937,0.0,1.085266278140562,0.0066306050725346,0.0028385822834337,0.0
DS-unknown,244,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,40.0,0.0,60.0,B,1,0.2253989653243185,0,FN,0.7746010346756815,0.7746010346756815,0.0,1.311560037540897,0.0486378273064698,0.0590231915782442,0.0
DS-unknown,322,EAE,EAE__DEGDEE,EAE,(none),DEGDEE,single_amine_solvent,313,0.0,30.0,0.0,70.0,B,1,0.2255052516085162,0,FN,0.7744947483914838,0.7744947483914838,0.0,0.7799896148173677,0.0975447330544102,0.0159135585426161,0.0
DS-unknown,127,MAE,MAE__ethanol,MAE,(none),ethanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.7718594007035451,1,FP,-0.7718594007035451,0.7718594007035451,0.678806428159665,0.1390924859531633,0.291059536253802,0.1301310538312773,0.3220026917303987
DS-unknown,61,MEA,MEA__ethanol,MEA,(none),ethanol,single_amine_solvent,303,20.0,30.0,0.0,50.0,M,0,0.7698693188267538,1,FP,-0.7698693188267538,0.7698693188267538,0.4132206878981716,0.223697377496635,0.0903790576918158,0.0343960530103631,0.2557599558041078
DS-unknown,411,2MPRZ,2MPRZ__TGBE,2MPRZ,(none),TGBE,single_amine_solvent,313,1.1,61.13,0.0,37.77,B,1,0.2456992915174133,0,FN,0.7543007084825867,0.7543007084825867,0.0714602325377079,2.4995808390804912,0.0340666257256834,0.0317759172299482,0.0590184756713157
DS-unknown,47,MEA,MEA__n-propanol,MEA,(none),n-propanol,single_amine_solvent,303,50.0,30.0,0.0,20.0,B,1,0.2619384330430792,0,FN,0.7380615669569208,0.7380615669569208,0.7710898019586486,0.1580089443700978,0.2943180920563433,0.1232359207467604,0.3200051457389803
DS-unknown,143,MAE,MAE__n-butanol,MAE,(none),n-butanol,single_amine_solvent,313,60.0,30.0,0.0,10.0,B,1,0.2634227729963467,0,FN,0.7365772270036532,0.7365772270036532,0.8617480362106773,0.1152556461267667,0.4163156830448303,0.1850885851468917,0.3008447324939362
DS-unknown,49,MEA,MEA__Tertiarybutanol,MEA,(none),Tertiarybutanol,single_amine_solvent,303,50.0,30.0,0.0,20.0,B,1,0.2651105480481084,0,FN,0.7348894519518916,0.7348894519518916,0.7848221068528244,0.1612767474649304,0.2945234192279332,0.122122077675721,0.325542958219524
DS-unknown,29,1MI|MAE,1MI|MAE__NO_SOLVENT,MAE,1MI,(none),dual_amine_aqueous,313,35.0,30.0,35.0,0.0,M,0,0.7307684505474678,1,FP,-0.7307684505474678,0.7307684505474678,0.70175460673841,0.4249995516913517,0.5204267575999204,0.2294663882799844,0.2015974869136223
