protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
DS-known,8,TEPA,TEPA__DGME,TEPA,(none),DGME,single_amine_solvent,298,10.0,30.0,0.0,60.0,M,0,0.8419726629210168,1,FP,-0.8419726629210168,0.8419726629210168,0.4576350079444441,0.1502868542868079,0.1006487554123264,0.0668341918036943,0.3168904014390157
DS-known,328,DEEA|HxA,DEEA|HxA__NO_SOLVENT,HxA,DEEA,(none),dual_amine_aqueous,303,43.81,15.18,41.01,0.0,M,0,0.8377866075706569,1,FP,-0.8377866075706569,0.8377866075706569,0.829472180502518,0.2055859418865209,0.6353327344042836,0.2926293512795546,0.2382877225862
DS-known,26,MAE,MAE__TEGDME,MAE,(none),TEGDME,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.8342669647112546,1,FP,-0.8342669647112546,0.8342669647112546,0.765307324687913,0.1867118243378979,0.2617510835873515,0.1297116933745545,0.3854657497215349
DS-known,134,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,30.0,30.0,0.0,40.0,M,0,0.8114817681340387,1,FP,-0.8114817681340387,0.8114817681340387,0.6099239037409819,0.171357255904456,0.2025425741513487,0.0854953045329484,0.3433157750594197
DS-known,135,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.8100249985411544,1,FP,-0.8100249985411544,0.8100249985411544,0.4741110022343521,0.205650743207742,0.1194944823543511,0.0468389965451358,0.306243020477038
DS-known,254,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.2048051966370364,0,FN,0.7951948033629637,0.7951948033629637,0.0,0.4651141192033864,0.0195041711327705,0.0075156065937552,0.0
DS-known,56,MEA,MEA__ethanol,MEA,(none),ethanol,single_amine_solvent,303,30.0,30.0,0.0,40.0,M,0,0.792419543901436,1,FP,-0.792419543901436,0.792419543901436,0.55056187976641,0.1938519420924298,0.1648974103529349,0.0677143192089424,0.2997393287556414
DS-known,15,MDEA|TEPA,MDEA|TEPA__NO_SOLVENT,TEPA,MDEA,(none),dual_amine_aqueous,298,30.0,30.0,40.0,0.0,M,0,0.7914033402605897,1,FP,-0.7914033402605897,0.7914033402605897,0.771165540623744,0.2967384398307923,0.5122811846530673,0.2213602316668415,0.2215376051561621
DS-known,61,MEA,MEA__ethanol,MEA,(none),ethanol,single_amine_solvent,303,20.0,30.0,0.0,50.0,M,0,0.7889326547388406,1,FP,-0.7889326547388406,0.7889326547388406,0.4132206878981716,0.223697377496635,0.0903790576918158,0.0343960530103631,0.2557599558041078
DS-known,258,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.2126011767908608,0,FN,0.7873988232091392,0.7873988232091392,0.0,2.170189437613889,0.0829899755574739,0.1281269357253034,0.0
DS-known,327,DEEA|PtA,DEEA|PtA__NO_SOLVENT,PtA,DEEA,(none),dual_amine_aqueous,303,45.91,13.07,41.02,0.0,M,0,0.7869909697451859,1,FP,-0.7869909697451859,0.7869909697451859,0.8359879774476343,0.1961894512561253,0.634793903740484,0.2929122567849688,0.240159556809676
DS-known,251,AEP,AEP__n-propanol,AEP,(none),n-propanol,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.2182185225361644,0,FN,0.7817814774638356,0.7817814774638356,0.0,0.4651141192033864,0.0066306050725346,0.0028385822834337,0.0
DS-known,29,1MI|MAE,1MI|MAE__NO_SOLVENT,MAE,1MI,(none),dual_amine_aqueous,313,35.0,30.0,35.0,0.0,M,0,0.7568679647427492,1,FP,-0.7568679647427492,0.7568679647427492,0.70175460673841,0.4249995516913517,0.5204267575999204,0.2294663882799844,0.2015974869136223
DS-known,101,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,49.0,30.0,0.0,21.0,B,1,0.2563870904538207,0,FN,0.7436129095461793,0.7436129095461793,0.8033323489301671,0.169666467540701,0.3397186120856579,0.1610587522386116,0.2969142166727027
DS-known,391,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,49.0,30.0,0.0,21.0,B,1,0.2564160584896631,0,FN,0.7435839415103369,0.7435839415103369,0.8698581540942268,0.0802116487748891,0.4713464149496016,0.2301624963856708,0.3215023679591695
DS-known,322,EAE,EAE__DEGDEE,EAE,(none),DEGDEE,single_amine_solvent,313,0.0,30.0,0.0,70.0,B,1,0.2661620221035483,0,FN,0.7338379778964517,0.7338379778964517,0.0,0.7799896148173677,0.0975447330544102,0.0159135585426161,0.0
DS-known,140,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,30.0,30.0,0.0,40.0,M,0,0.7304178935574264,1,FP,-0.7304178935574264,0.7304178935574264,0.6099239037409819,0.171357255904456,0.208882587616442,0.0906451741028752,0.3394488492970196
DS-known,470,DETA,DETA__NO_SOLVENT,DETA,(none),(none),single_amine_aqueous,373,82.9,17.1,0.0,0.0,M,0,0.7282893311965782,1,FP,-0.7282893311965782,0.7282893311965782,0.9652331298810845,0.0360191429848278,0.472461578257938,0.2204175319018481,0.2772886296738377
DS-known,28,MAE,MAE__EGEE,MAE,(none),EGEE,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.7091071432758272,1,FP,-0.7091071432758272,0.7091071432758272,0.7114989493281015,0.1713349895394421,0.2527504079829302,0.119105888221465,0.3647678168198903
DS-known,51,MEA,MEA__ethanol,MEA,(none),ethanol,single_amine_solvent,303,40.0,30.0,0.0,30.0,M,0,0.7015024020579742,1,FP,-0.7015024020579742,0.7015024020579742,0.660291678898528,0.1710329335411518,0.2349558219390672,0.0990384792758128,0.313219924137931
DS-known,133,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.6934332897843342,1,FP,-0.6934332897843342,0.6934332897843342,0.7118867384301694,0.1468664070635821,0.2792879267242057,0.1212178831195991,0.3460749189857101
DS-known,283,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,303,0.0,17.0,0.0,83.0,B,1,0.3082349884358155,0,FN,0.6917650115641845,0.6917650115641845,0.0,0.5035447927515501,0.0647129034103916,0.0029521164101237,0.0
DS-known,141,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.6902389747739951,1,FP,-0.6902389747739951,0.6902389747739951,0.4741110022343521,0.205650743207742,0.1278030110105678,0.0535672322667633,0.3023038556287463
DS-known,253,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,30.0,0.0,70.0,B,1,0.3140276883961867,0,FN,0.6859723116038132,0.6859723116038132,0.0,0.19933462251579,0.0195041711327705,0.0075156065937552,0.0
DS-known,242,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,20.0,0.0,80.0,B,1,0.3197933180710662,0,FN,0.6802066819289339,0.6802066819289339,0.0,0.4918350140782395,0.0486378273064698,0.0590231915782442,0.0
DS-known,259,MAE,MAE__n-butanol,MAE,(none),n-butanol,single_amine_solvent,303,50.0,30.0,0.0,20.0,B,1,0.3208927728710947,0,FN,0.6791072271289054,0.6791072271289054,0.8057189586080556,0.1311582703218983,0.3494822253141264,0.1540753813213043,0.335133413265067
DS-known,66,MEA,MEA__ethanol,MEA,(none),ethanol,single_amine_solvent,303,10.0,30.0,0.0,60.0,M,0,0.6764050599080225,1,FP,-0.6764050599080225,0.6764050599080225,0.2363463497377199,0.2644051869913988,0.0109608804624842,0.0011129977863735,0.165055059884924
DS-known,252,AEP,AEP__n-propanol,AEP,(none),n-propanol,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.331536240645667,0,FN,0.668463759354333,0.668463759354333,0.0,1.085266278140562,0.0066306050725346,0.0028385822834337,0.0
DS-known,255,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.3439125162377774,0,FN,0.6560874837622226,0.6560874837622226,0.0,1.085266278140562,0.0195041711327705,0.0075156065937552,0.0
DS-known,102,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,42.0,30.0,0.0,28.0,B,1,0.3495164015958638,0,FN,0.6504835984041362,0.6504835984041362,0.7630078692536336,0.1915209105066807,0.3053235399408604,0.1520218981677961,0.3082538701617835
DS-known,144,MAE,MAE__n-butanol,MAE,(none),n-butanol,single_amine_solvent,313,50.0,30.0,0.0,20.0,B,1,0.3495186394347987,0,FN,0.6504813605652013,0.6504813605652013,0.8057189586080556,0.1311582703218983,0.3494822253141264,0.1540753813213043,0.335133413265067
DS-known,47,MEA,MEA__n-propanol,MEA,(none),n-propanol,single_amine_solvent,303,50.0,30.0,0.0,20.0,B,1,0.3577226981829137,0,FN,0.6422773018170863,0.6422773018170863,0.7710898019586486,0.1580089443700978,0.2943180920563433,0.1232359207467604,0.3200051457389803
DS-known,129,MAE,MAE__ethanol,MAE,(none),ethanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.637841429212326,1,FP,-0.637841429212326,0.637841429212326,0.427826154895049,0.1819218304509995,0.1464827720065507,0.0654886275658276,0.2647999039553491
DS-known,139,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.6374188078890521,1,FP,-0.6374188078890521,0.6374188078890521,0.7118867384301694,0.1468664070635821,0.2838327280562153,0.1249201057708459,0.3428395351886527
DS-known,210,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,39.49,37.07,23.44,0.0,B,1,0.3666247539753103,0,FN,0.6333752460246898,0.6333752460246898,0.7793722914650906,0.2830838495937325,0.5797326062415555,0.2666471096981284,0.2238952104065662
DS-known,241,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,10.0,0.0,90.0,B,1,0.3696499495905943,0,FN,0.6303500504094057,0.6303500504094057,0.0,0.2185933395903883,0.0486378273064698,0.0590231915782442,0.0
DS-known,34,DMAC|MAE,DMAC|MAE__NO_SOLVENT,MAE,DMAC,(none),dual_amine_aqueous,313,35.0,30.0,35.0,0.0,M,0,0.6301364003569828,1,FP,-0.6301364003569828,0.6301364003569828,0.7080313384464446,0.412366862452413,0.5325886679678034,0.2200527519094706,0.2034006433535237
DS-known,161,DETA,DETA__sulfolane,DETA,(none),sulfolane,single_amine_solvent,313,60.0,20.0,0.0,20.0,B,1,0.3699702454668688,0,FN,0.6300297545331313,0.6300297545331313,0.9023831040570632,0.0554362038700829,0.405840063876778,0.2029136028243116,0.3193514339548617
DS-known,30,MAE,MAE__DMSO,MAE,(none),DMSO,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.6290177496634145,1,FP,-0.6290177496634145,0.6290177496634145,0.6963071774964387,0.1670655048445586,0.273151867149201,0.1398316459437873,0.3427736907620761
