canonical_amine_object,n_shared_rows,ds_unknown_signed_mean,strict_signed_mean,ds_unknown_abs_mean,strict_abs_mean,share_consistent_under,share_consistent_over,share_consistent_strong_under,share_consistent_strong_over
NMP|TEPA,1,0.4740362338210471,,0.4740362338210471,,0.0,0.0,0.0,0.0
DEEA|HMDA,13,-0.47076660671147913,,0.47076660671147913,,0.0,0.0,0.0,0.0
DGA|TA,1,0.44763074755025833,,0.44763074755025833,,0.0,0.0,0.0,0.0
MAE|NMP,1,-0.4417165789424057,,0.4417165789424057,,0.0,0.0,0.0,0.0
DMAC|TETA,2,0.4277429234643877,,0.4277429234643877,,0.0,0.0,0.0,0.0
PMDETA|TETA,1,0.41767002166387523,,0.41767002166387523,,0.0,0.0,0.0,0.0
DMAC|TEPA,1,0.37736799459936454,,0.37736799459936454,,0.0,0.0,0.0,0.0
DEEA|MAPA,14,-0.13162958882736503,,0.2965605118285861,,0.0,0.0,0.0,0.0
DEEA|DETA,1,0.2665209201373504,,0.2665209201373504,,0.0,0.0,0.0,0.0
DEEA|TETA,6,0.2629785078038169,,0.2629785078038169,,0.0,0.0,0.0,0.0
DMAE|TETA,27,-0.23047977483550866,,0.23047977483550866,,0.0,0.0,0.0,0.0
DETA|PMDETA,17,0.22235772629019374,,0.22235772629019374,,0.0,0.0,0.0,0.0
DMCA|TETA,5,0.1655245611524696,,0.1655245611524696,,0.0,0.0,0.0,0.0
1-amino-2-propanol|PMDETA,1,0.14284037055191567,,0.14284037055191567,,0.0,0.0,0.0,0.0
DETA|DMCA,2,0.14243818536189357,,0.14243818536189357,,0.0,0.0,0.0,0.0
DMCA|HxA,1,0.1081556409041371,,0.1081556409041371,,0.0,0.0,0.0,0.0
DAP|PMDETA,1,0.10690682865671475,,0.10690682865671475,,0.0,0.0,0.0,0.0
DEEA|TEPA,1,0.09336917780435638,,0.09336917780435638,,0.0,0.0,0.0,0.0
MEA|PMDETA,4,0.08759287874809307,,0.08759287874809307,,0.0,0.0,0.0,0.0
DMCA|PtA,1,0.0851559241095926,,0.0851559241095926,,0.0,0.0,0.0,0.0
DGA|PMDETA,1,0.08328110015891921,,0.08328110015891921,,0.0,0.0,0.0,0.0
DMCA|TEPA,1,0.08018569685787802,,0.08018569685787802,,0.0,0.0,0.0,0.0
DAP|DEEA,1,0.06468205882334843,,0.06468205882334843,,0.0,0.0,0.0,0.0
AEEA|DEEA,1,0.06111608262991797,,0.06111608262991797,,0.0,0.0,0.0,0.0
1-amino-2-propanol|NMP,1,0.06086619071339283,,0.06086619071339283,,0.0,0.0,0.0,0.0
BDA|DEEA,1,0.060856590747866424,,0.060856590747866424,,0.0,0.0,0.0,0.0
DAP|DMAP,1,0.05431685958640742,,0.05431685958640742,,0.0,0.0,0.0,0.0
DMCA|MCA,1,0.05320521102656384,,0.05320521102656384,,0.0,0.0,0.0,0.0
DAP|DMAE,1,0.04962896577918563,,0.04962896577918563,,0.0,0.0,0.0,0.0
1-amino-2-propanol|DMAE,1,0.048843296775555545,,0.048843296775555545,,0.0,0.0,0.0,0.0
1-amino-2-propanol|TMEDA,2,0.03701328795309966,,0.03701328795309966,,0.0,0.0,0.0,0.0
DMCA|OtA,1,0.036929981714547644,,0.036929981714547644,,0.0,0.0,0.0,0.0
AEEA|PMDETA,10,0.03533124220025846,,0.03533124220025846,,0.0,0.0,0.0,0.0
DGA|TMEDA,1,0.032038741223064826,,0.032038741223064826,,0.0,0.0,0.0,0.0
DAP|TMEDA,1,0.031339049834058,,0.031339049834058,,0.0,0.0,0.0,0.0
1-amino-2-propanol|DEEA,2,0.022532650834787282,,0.022532650834787282,,0.0,0.0,0.0,0.0
1-amino-2-propanol|DMAC,1,0.01733433503972115,,0.01733433503972115,,0.0,0.0,0.0,0.0
DAP|DMAC,1,0.015350848936132366,,0.015350848936132366,,0.0,0.0,0.0,0.0
