protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
LOCO,32,MAE,MAE__PC,MAE,(none),PC,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.917147510670482,1,FP,-0.917147510670482,0.917147510670482,0.7235622654741967,0.1747475712960923,0.2972504196450769,0.1524023214402197,0.3387538497495382
LOCO,202,AMP,AMP__TEGDME,AMP,(none),TEGDME,single_amine_solvent,298,0.0,25.0,0.0,75.0,B,1,0.0835374816980382,0,FN,0.9164625183019618,0.9164625183019618,0.0,0.6664871697057858,0.049354541922956,0.0159924624547137,0.0
LOCO,139,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.9159561538480284,1,FP,-0.9159561538480284,0.9159561538480284,0.7118867384301694,0.1468664070635821,0.2838327280562153,0.1249201057708459,0.3428395351886527
LOCO,329,DEEA|OtA,DEEA|OtA__NO_SOLVENT,OtA,DEEA,(none),dual_amine_aqueous,303,39.6,19.39,41.01,0.0,M,0,0.9132472230813462,1,FP,-0.9132472230813462,0.9132472230813462,0.814698403905733,0.227448090245038,0.6420450602341856,0.2985125768037509,0.2340435662877785
LOCO,27,MAE,MAE__EGME,MAE,(none),EGME,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9130394447152668,1,FP,-0.9130394447152668,0.9130394447152668,0.6933217096631877,0.1662301277398328,0.2827889147024974,0.1353815661320015,0.3346224492648819
LOCO,34,DMAC|MAE,DMAC|MAE__NO_SOLVENT,MAE,DMAC,(none),dual_amine_aqueous,313,35.0,30.0,35.0,0.0,M,0,0.9122072851791744,1,FP,-0.9122072851791744,0.9122072851791744,0.7080313384464446,0.412366862452413,0.5325886679678034,0.2200527519094706,0.2034006433535237
LOCO,1,AMB,AMB__DEGEE,AMB,(none),DEGEE,single_amine_solvent,313,10.0,30.0,0.0,60.0,M,0,0.908162932938806,1,FP,-0.908162932938806,0.908162932938806,0.4292803714457309,0.2901401323493872,0.1748965191395742,0.0923289794085322,0.3061033475716027
LOCO,8,TEPA,TEPA__DGME,TEPA,(none),DGME,single_amine_solvent,298,10.0,30.0,0.0,60.0,M,0,0.8961305383578477,1,FP,-0.8961305383578477,0.8961305383578477,0.4576350079444441,0.1502868542868079,0.1006487554123264,0.0668341918036943,0.3168904014390157
LOCO,127,MAE,MAE__ethanol,MAE,(none),ethanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.8786889796240727,1,FP,-0.8786889796240727,0.8786889796240727,0.678806428159665,0.1390924859531633,0.291059536253802,0.1301310538312773,0.3220026917303987
LOCO,128,MAE,MAE__ethanol,MAE,(none),ethanol,single_amine_solvent,313,30.0,30.0,0.0,40.0,M,0,0.8786772905597403,1,FP,-0.8786772905597403,0.8786772905597403,0.5677789898716058,0.1576500383535622,0.2210011246676697,0.0988068937644069,0.3091127438352196
