protocol,n_rows,n_groups,auc_mean,auc_std,global_auc,f1,precision,recall,tn,fp,fn,tp
DS-known,493,150,0.8319826996418465,0.08803170822919522,0.8289560439560439,0.8330827067669173,0.8147058823529412,0.8523076923076923,105,63,48,277
DS-unknown,493,69,0.8397189283521408,0.0483036022272013,0.794276556776557,0.8238897396630934,0.8201219512195121,0.8276923076923077,109,59,56,269
LOCO,493,27,0.8947984763774237,0.1267626029057268,0.7454395604395605,0.8090909090909091,0.7970149253731343,0.8215384615384616,100,68,58,267
strict_amine_object_holdout,352,21,0.8736221299026177,0.12783368873321954,0.7164304500292227,0.7957446808510639,0.7991452991452992,0.7923728813559322,69,47,49,187
