row_id,Amine_1,Amine_2,Solvent,canonical_amine_object,chemistry_object,amine_count,y,x_Am1,x_Am2,x_Sol,x_H2O,S_ideal,minus_T_Smix,inv_T,xa_invT,ln_MW_ratio,Am_Med_ratio,Water_ent,Am_acc,Am_don,Am_np,Am_wid,Sv_acc,Sv_don,Sv_np,Sv_wid,Delta_S_np,Delta_S_acc,Sal_Out
10,TEPA,,DGME,TEPA,TEPA__DGME,1,1,0.051114372783377555,0.0,0.05369105086228571,0.8951945763543367,0.4081289687201781,-121.62243267861308,3.3557046979865772,0.1715247408838173,2.0739246862559546,0.0538677911407069,0.09911073398706194,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.31619178545056004,0.2954104581824326,0.38839775636700746,0.00012264092700175507,0.4047032720092909,0.1873614966322535,0.3476915649679381
11,TEPA,,DGME,TEPA,TEPA__DGME,1,1,0.04436266796365478,0.0,0.023299496133090288,0.9323378359032549,0.29111552227143245,-86.75242563688687,3.3557046979865772,0.14886801330085497,2.222682316765988,0.04642207506594263,0.06531963083415537,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.3374186950445469,0.3277327235627611,0.334848581392692,0.0001325019633194174,0.45825244698360634,0.20858840622624036,0.3121920017309374
12,TEPA,,DGME,TEPA,TEPA__DGME,1,1,0.07348102550412014,0.0,0.15437041532230772,0.7721485591735721,0.679925573122338,-216.2163322529035,3.1446540880503147,0.23107240724566083,1.687109448402419,0.07930871091336468,0.1996608720531358,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.2645875461435761,0.21683256109171317,0.5185798927647107,9.866799278040027e-05,0.27452113561158764,0.13575725732526955,0.40042071701465687
13,TEPA,,DGME,TEPA,TEPA__DGME,1,1,0.07348102550412014,0.0,0.15437041532230772,0.7721485591735721,0.679925573122338,-223.01558798412688,3.048780487804878,0.22402751678085409,1.687109448402419,0.07930871091336468,0.1996608720531358,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.2645875461435761,0.21683256109171317,0.5185798927647107,9.866799278040027e-05,0.27452113561158764,0.13575725732526955,0.40042071701465687
14,TEPA,PMDETA,,PMDETA|TEPA,PMDETA|TEPA__NO_SOLVENT,2,0,0.07713317888895695,0.1123409399739323,0.0,0.8105258811371109,0.6135027710738198,-182.8238257799983,3.3557046979865772,0.6358191908150645,2.3007286940891696,0.23376689538505124,0.17026879776958548,0.08648137769262729,0.03276152906206286,0.88075709324531,3.392603545019061e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5934807647711731,0.2697949731863708,0.232844899266334
15,TEPA,MDEA,,MDEA|TEPA,MDEA|TEPA__NO_SOLVENT,2,0,0.07338747717035357,0.15544698220590247,0.0,0.771165540623744,0.6814341836137243,-203.06738671688984,3.3557046979865772,0.767900870390121,2.0622020625568434,0.29673843983079234,0.20038907732063738,0.13491611921215663,0.06552636766063911,0.7995575131272044,4.934160767133089e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5122811846530673,0.2213602316668415,0.22153760515616214
16,TEPA,DMCA,,DMCA|TEPA,DMCA|TEPA__NO_SOLVENT,2,1,0.07411798523841738,0.14704019650901723,0.0,0.7788418182525655,0.6694149132383039,-199.48564414501456,3.3557046979865772,0.7421415494880357,2.1062276281958674,0.2839577646759496,0.19466941829992349,0.07133530964288078,0.033272010192408406,0.8953926801647106,2.971758056161316e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.6081163516905737,0.28494104123611735,0.22374281800971813
17,TEPA,DMAC,,DMAC|TEPA,DMAC|TEPA__NO_SOLVENT,2,1,0.06941875328963955,0.20111959365796306,0.0,0.7294616530523973,0.7378556892144493,-219.8809953859059,3.3557046979865772,0.9078468018375926,1.8391908094525011,0.3708739805789338,0.2301075685568139,0.1298159685177392,0.03218543494141945,0.8379985965408413,4.606220051981713e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5507222680667043,0.22646038236125893,0.20955706545156746
18,TEPA,NMP,,NMP|TEPA,NMP|TEPA__NO_SOLVENT,2,1,0.0711525810795103,0.18116646883706877,0.0,0.747680950083421,0.7149547989287373,-213.0565300807637,3.3557046979865772,0.846708221196574,1.9335798522303023,0.33746887611365467,0.21740986613886876,0.13213630743937385,0.03393749043663452,0.8339262021239916,4.6076415713633084e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5466498736498546,0.22414004343962426,0.21479103821001969
19,MAE,,DGM,MAE,MAE__DGM,1,1,0.15343836246759335,0.0,0.10021037439056434,0.7463512631418424,0.7364975551123523,-230.52373475016626,3.194888178913738,0.4902184104395954,0.8605862141607183,0.18124889631741484,0.2183517250661699,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.27040883573536195,0.2210944433965694,0.5084967208680687,0.00010103711971245871,0.25692881778702337,0.1279141205417231,0.379517169923368
20,MAE,,DEGDEE,MAE,MAE__DEGDEE,1,1,0.15614421982347548,0.0,0.08434274951470604,0.7595130306618184,0.7074494734831213,-221.43168520021695,3.194888178913738,0.49886332211973,0.8399036768161466,0.18503661821292136,0.20892517369547337,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2611407161480005,0.2206741738738225,0.518185109978177,9.873866512971368e-05,0.2472404286769151,0.11864600095436165,0.3935683433233529
21,MAE,,n-butanol,MAE,MAE__n-butanol,1,1,0.14191656435623684,0.0,0.16777623107881298,0.6903072045649502,0.8324364189533376,-260.5525991323947,3.194888178913738,0.45340755385379183,0.9521641687574947,0.16538783812975116,0.25584065967325764,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.24504466347173487,0.22797470918659868,0.5269806273416664,9.599597605773669e-05,0.2384449113134257,0.10254994827809602,0.3637785237201095
22,MAE,,n-pentylalcohol,MAE,MAE__n-pentylalcohol,1,1,0.14580932972594987,0.0,0.14494836822711427,0.709242302046936,0.8043653236965133,-251.76634631700864,3.194888178913738,0.4658445039167728,0.9205567683635273,0.17069880859152808,0.24366590865421214,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.24215355513811354,0.2254912748255093,0.5323551700363772,9.474728292715838e-05,0.23307036861871488,0.09965883994447469,0.3775688063031882
23,MAE,,1-Heptanol,MAE,MAE__1-Heptanol,1,1,0.15109672901458304,0.0,0.11394212604715333,0.7349611449382637,0.7593597612565166,-237.6796052732897,3.194888178913738,0.4827371534012238,0.8787271653283131,0.1779905133820608,0.22632220428201083,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2354344953288422,0.2268111295046663,0.5377543751664916,9.354358786757318e-05,0.2276711634886005,0.09293978013520335,0.39522857126792527
24,MAE,,1-Octanol,MAE,MAE__1-Octanol,1,1,0.1529741111403932,0.0,0.1029328260719574,0.7440930627876494,0.7411888616676815,-231.99211370198432,3.194888178913738,0.4887351793622786,0.8641647003149685,0.18060145876552755,0.21994584903003994,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.23778269969090704,0.22893594168010845,0.5332813586289844,9.466530732519214e-05,0.2321441800261077,0.09528798449726819,0.3968109594697999
25,MAE,,TEG,MAE,MAE__TEG,1,0,0.15509415610121577,0.0,0.09050050842403803,0.7544053354747463,0.7190815749337023,-225.07253295424883,3.194888178913738,0.4955084859463763,0.8478949422143428,0.18356383403073223,0.2126106421727107,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2884265766580252,0.24639234373060256,0.46518107961137223,0.00010921997140644885,0.3002444590437199,0.14593186146438633,0.3509350884207219
